Station,Depth,Original_station_cast,Expt_Date,Latitude,Longitude,Max_Depth,Temperature,Salinity,Turbidity,Chlorophyll,Oxygen,Conductivity,Density,Pressure,Measured_depth,Nitrate,Phosphate,Silicate,TON,Nitrite,Total_Phyto,Synecho,Dogger,Fraction_Syencho,Fraction_Dogger,Total_Bacteria,HNA,LNA,Fraction_HNA,Total_Viruses,V1,V2,V3,Fraction_V1,Fraction_V2,Fraction_V3,VBR,Phyto_Sample_Name,Bacterial_Sample_Name,Viral_Sample_Name,Location,Station_Number,Location_Station_Number
9,30,PE486_S04C02,2021-04-15,54.469083,4.222222,48.405,6.2201,34.5074,4.5166,1.6735,303.9,34.14298,1027.14834561278,30.459,30.184,3.355,0.2,0.385,3.43,0.075,5143.92523364486,2068.22429906542,137.383177570093,0.402071220930233,0.0267078488372093,1113261.94398682,575467.369026362,537794.574960459,0.516920004438034,28650123.5584843,22423910.1956497,5487894.19203108,738319.170803573,0.782681099084097,0.191548709408826,0.0257701915070774,25.7352941176471,Cruise_NorthSea_PE486_Algae_PE486_2_30m.fcs,BA210506.111,VI210506.099,PE486,2,PE486_2
10,7,PE486_S06C01,2021-04-16,54.992528,1.959,24.788,6.3576,34.6998,4.4739,0.2864,299.281,34.428736,1027.17446453507,7.221,7.156,0.000175,0.11,0.03555,0.007645,0.01965,7878.5046728972,586.915887850467,5768.22429906542,0.0744958481613286,0.73214709371293,926688.63261944,482426.469280492,444262.163338948,0.520591763294682,42011738.0560132,31329704.2969815,10118805.8302219,563227.928809731,0.74573692369524,0.240856634322788,0.0134064419819716,45.3353333333333,Cruise_NorthSea_PE486_Algae_PE486_3_7m.fcs,BA210506.112,VI210506.100,PE486,3,PE486_3
10,15,PE486_S06C01,2021-04-16,54.992528,1.959,24.788,6.2541,34.6931,4.422,1.336,299.906,34.332282,1027.21987232598,15.307,15.169,0.06035,0.13,0.03555,0.08,0.01965,10046.7289719626,572.897196261682,8178.5046728972,0.0570232558139535,0.814046511627907,933360.7907743,495149.319864254,438211.470910046,0.530501521767897,41497734.7611203,30883969.8967429,10039852.3259878,573912.5383896,0.744232668952292,0.241937358358998,0.0138299726887094,44.460550701615,Cruise_NorthSea_PE486_Algae_PE486_3_15m.fcs,BA210506.113,VI210506.101,PE486,3,PE486_3
11,7,PE486_S08C01,2021-04-18,55.273417,0.762167,93.329,7.2918,34.5707,3.9724,0.7843,299.089,35.165068,1026.94644983595,7.251,7.186,3.575,0.3,0.03555,3.665,0.09,14205.6074766355,2331.77570093458,147.663551401869,0.164144736842105,0.0103947368421053,794913.509060955,436294.76891601,358618.740144946,0.548858163740873,13643945.6342669,9457040.46576239,3806586.12643434,380319.042070157,0.693130910900946,0.278994524639124,0.0278745644599303,17.1640631071734,Cruise_NorthSea_PE486_Algae_PE486_4_7m.fcs,BA210506.130,VI210506.118,PE486,4,PE486_4
11,15,PE486_S08C01,2021-04-18,55.273417,0.762167,93.329,7.2906,34.5744,3.9504,0.7335,299.217,35.171027,1026.98633218088,15.308,15.169,3.31,0.3,0.03555,3.4,0.09,14908.4112149533,2258.8785046729,152.336448598131,0.15151705115346,0.0102181544633902,791453.871499176,432835.983711127,358617.887788049,0.546887189889218,12963138.3855025,8853204.82974071,3723394.69926977,386538.856491989,0.682952273320004,0.287229418412588,0.0298183082674085,16.3788931387089,Cruise_NorthSea_PE486_Algae_PE486_4_15m.fcs,BA210506.131,VI210506.119,PE486,4,PE486_4
11,30,PE486_S08C01,2021-04-18,55.273417,0.762167,93.329,6.7347,34.6003,4.0203,0.5498,295.947,34.693544,1027.15168285341,30.202,29.926,3.79,0.34,0.03555,3.9,0.11,6053.27102803738,1789.71962616822,114.953271028037,0.2956615717153,0.0189902732746642,708051.894563427,357113.023906074,350938.870657352,0.504359958144402,12808690.2800659,8759397.00028061,3666541.0654047,382752.214380595,0.683863596414133,0.28625417472315,0.0298822288627175,18.0900444987348,Cruise_NorthSea_PE486_Algae_PE486_4_30m.fcs,BA210506.132,VI210506.120,PE486,4,PE486_4
12,7,PE486_S09C01,2021-04-19,54.019417,2.08925,31.357,6.8324,34.5877,4.3539,0.295,459.717,34.760652,1027.02213351748,6.974,6.911,2.015,0.3,0.03555,2.095,0.08,6222.42990654206,2660.7476635514,259.81308411215,0.42760588765395,0.0417542805647342,759699.341021417,379602.694131963,380096.646889454,0.499674902470741,18433072.4876442,12775866.49944,5101783.84168381,555422.146520351,0.693094789704959,0.276773383553045,0.0301318267419962,24.2636415385866,Cruise_NorthSea_PE486_Algae_PE486_5_7m.fcs,BA210506.133,VI210506.121,PE486,5,PE486_5
12,15,PE486_S09C01,2021-04-19,54.019417,2.08925,31.357,6.8223,34.5395,4.4771,0.3117,297.511,34.71164,1027.02391608596,15.293,15.156,2.095,0.3,0.03555,2.175,0.08,6306.54205607477,2692.52336448598,232.710280373832,0.426941315945465,0.0368998221695317,733752.059308072,367863.915294303,365888.14401377,0.501346348030966,17186367.3805601,11782008.7082467,4927503.49534456,476855.176968829,0.685543864352255,0.286710006031767,0.0277461296159775,23.4225814599646,Cruise_NorthSea_PE486_Algae_PE486_5_15m.fcs,BA210506.134,VI210506.122,PE486,5,PE486_5
12,30,PE486_S09C01,,,,31.357,6.8013,34.5212,4.6083,0.3482,294.699,34.68284,1027.08160920275,30.388,30.115,,,,,,,,,,,,,,,,,,,,,,,,,,PE486,5,PE486_5
13.1,7,PE486_S10C01,2021-04-20,54.974778,1.514028,28.458,6.9968,34.7821,4.5486,0.2842,467.21,35.087317,1027.1529472526,7.267,7.202,0.000175,0.12,0.03555,0.005,0.01965,9582.24299065421,1510.28037383178,63.5514018691589,0.157612406125037,0.00663220520823174,1253191.92751236,676372.855810926,576819.071701429,0.539720086733688,39722199.3410214,28477558.6530188,10426478.3795009,818162.308501738,0.716917973462002,0.26248492159228,0.0205971049457177,31.6968203105743,Cruise_NorthSea_PE486_Algae_PE486_6_7m.fcs,BA210506.136,VI210506.124,PE486,6,PE486_6
