"Overlay","Filename","Overlay_Gate","Gate","Total_Events","percent_gated_cells","percent_all_cells","Location","Station_Number","Depth","Location_Station","Acquisition_Duration","Flow_Rate","cells_per_mL"
1,"Cruise_NorthSea_PE477_Algae_PE477_3_30m.fcs compensated","2","15",230,2.23,1.37,"PE477",3,30,"PE477_3",9,129,198.105081826012
1,"Cruise_NorthSea_PE477_Algae_PE477_4_7m.fcs compensated","2","15",128,1.36,0.69,"PE477",4,7,"PE477_4",10,129,99.2248062015504
1,"Cruise_NorthSea_PE477_Algae_PE477_4_15m.fcs compensated","2","15",187,1.15,0.96,"PE477",4,15,"PE477_4",10,129,144.961240310078
1,"Cruise_NorthSea_PE477_Algae_PE477_4_30m.fcs compensated","2","15",126,1.1,0.93,"PE477",4,30,"PE477_4",10,129,97.6744186046512
1,"Cruise_NorthSea_PE477_Algae_PE477_5_7m.fcs compensated","2","15",1611,1.35,0.96,"PE477",5,7,"PE477_5",10,129,1248.83720930233
1,"Cruise_NorthSea_PE477_Algae_PE477_5_15m.fcs compensated","2","15",1579,1.33,0.94,"PE477",5,15,"PE477_5",10,129,1224.03100775194
1,"Cruise_NorthSea_PE477_Algae_PE477_5_30m.fcs compensated","2","15",641,1.7,1.2,"PE477",5,30,"PE477_5",10,129,496.899224806202
1,"Cruise_NorthSea_PE477_Algae_PE477_6_7m.fcs compensated","2","15",491,0.47,0.4,"PE477",6,7,"PE477_6",10,129,380.62015503876
1,"Cruise_NorthSea_PE477_Algae_PE477_6_15m.fcs compensated","2","15",530,0.5,0.43,"PE477",6,15,"PE477_6",10,129,410.852713178295
1,"Cruise_NorthSea_PE477_Algae_PE477_6_30m.fcs compensated","2","15",225,0.75,0.62,"PE477",6,30,"PE477_6",10,129,174.418604651163
1,"Cruise_NorthSea_PE477_Algae_PE477_7_7m_Bottle3.fcs compensated","2","15",738,0.31,0.27,"PE477",7,7,"PE477_7",10,129,572.093023255814
1,"Cruise_NorthSea_PE477_Algae_PE477_7_7m_Bottle3.fcs compensated","2","15",738,0.31,0.27,"PE477",7,7,"PE477_7",10,129,572.093023255814
1,"Cruise_NorthSea_PE477_Algae_PE477_7_15m.fcs compensated","2","15",752,0.32,0.28,"PE477",7,15,"PE477_7",10,129,582.945736434109
1,"Cruise_NorthSea_PE477_Algae_PE477_7_30m.fcs compensated","2","15",873,0.45,0.4,"PE477",7,30,"PE477_7",10,129,676.744186046512
1,"Cruise_NorthSea_PE486_Algae_PE486_1_7m.fcs compensated","2","15",1350,23.95,12.32,"PE486",1,7,"PE486_1",10,107,1261.68224299065
1,"Cruise_NorthSea_PE486_Algae_PE486_1_15m.fcs compensated","2","15",1500,22.23,11.36,"PE486",1,15,"PE486_1",10,107,1401.8691588785
